event_id,event_date,event_type,event_location,covid_names_txt,covid_names_score,sick_duration_txt,sick_duration_score_min,age_txt,age_score,health_txt,health_score,strong_txt,strong_score,young_txt,young_score,tall_txt,tall_score,attractive_txt,attractive_score,good_txt,good_score,smart_txt,smart_score
1,14-Oct,Campaign Rally,"Des Moines, IA",21,21,2 seconds,0.033333333,,,,,,,,,,,beautiful and free,20,,,,
2,15-Oct,Fox Business News,"Washington, DC",,,very quickly,0,,,,,strong,6.666666667,young,10,,,,,,,,
2.5,15-Oct,Campaign Rally,"Greenville, NC",,,so fast,0,,,,,,,,,"tall, very tall",4.285714286,"beautiful, handsome",13.33333333,,,,
3,16-Oct,Campaign Rally,"Macon, GA",,,2 seconds,0.033333333,,,healthy kid,20,,,young kid,5,do you think he's tall enough?,4.285714286,,,,,,
4,17-Oct,Campaign Rally,"Janesvill, WI",,,9 seconds,0.15,,,,,,,young boy,2.5,very tall,5.714285714,,,,,,
5,18-Oct,Campaign Rally,"Carson City, NV",,,"15 seconds, 2 seconds",7.516666667,,,,,strong,6.666666667,,,definitely tall,8.571428571,,,good kid,13.33333333,smart kid,20
6,19-Oct,Campaign Rally,"Prescott, AZ",,,"14 minutes, 12 seconds",7.1,14,14,,,Superman,20,,,very tall,5.714285714,,,,,,
7,20-Oct,Fox and Friends,"Washington, DC",,,,,,,,,very strong,13.33333333,"young man, very young",18.75,,,,,,,,
8,21-Oct,Town Hall,"Washington, DC",,,before they even told us he had it,-1,,,,,,,"young man, very young",18.75,,,,,,,,
8.5,21-Oct,Campaign Rally,"Gastonia, NC",,,12 seconds,0.2,,,,,,,,,,,,,,,,
9,23-Oct,Campaign Rally,"The Villages, FL",,,15 seconds,0.25,14,14,,,strong,6.666666667,young man,17.5,,,,,,,,
9.5,23-Oct,Campaign Rally,"Pensacola, FL",,,15 seconds,0.25,,,,,,,,,,,,,,,,
10,24-Oct,Campaign Rally,"Circleville, OH",,,,,,,,,,,young man,17.5,very very tall,11.42857143,,,great guy,20,,
10.5,24-Oct,Campaign Rally,"Waukesha, WI",,,15 minutes,15,14,14,,,strong [guys like Barron],6.666666667,young [guys like Barron],15,tall [they may not be as tall as Barron],4.285714286,,,,,,
11,26-Oct,Campaign Rally,"Martinsburg, PA",,,15 minutes,15,,,,,strong,6.666666667,young,10,,,,,,,,
12,27-Oct,Campaign Rally,"Lansing, MI",,,"12 minutes, 12 seconds",6.1,,,,,,,,,,,,,,,,
12.5,27-Oct,Campaign Rally,"Omaha, NE",,,"12 minutes, 12 seconds",6.1,,,,,,,young one,3,,,,,,,,
13,28-Oct,Campaign Rally,"Bullhead City, AZ",30,30,2 minutes,2,14,14,,,strong,6.666666667,young son,6,"very tall, tall, 6'5""",3.809523809,,,,,,
14,29-Oct,Campaign Rally,"Tampa, FL",,,"12 minutes, 12 minutes, 12 seconds, 2 minutes",6.55,14,14,,,,,,,"very tall son, very tall, slightly tall",3.809523809,,,,,,
15,30-Oct,Campaign Rally,"Waterford Township, MI",,,15 minutes,15,"14, 14-year-old",14,,,strong guy,10,"young, very young",15,"very tall, tall, tall guy",4.285714286,,,,,,
15.5,30-Oct,Campaign Rally,"Green Bay, WI",30,30,"so fast we didn't even know, 14 minutes",7,,,,,strong kid,3.333333333,very young,20,"very tall, seriously tall",8.571428571,,,good kid,13.33333333,,
16,31-Oct,Campaign Rally,"Newtown, PA",,,12 minutes,12,,,,,strong,6.666666667,"young boy, young",6.25,"tall boy, very tall",3.571428571,good looking guy,6.666666667,good guy,20,,
16.5,31-Oct,Campaign Rally,"Reading, PA",24,24,12 minutes,12,14-year-old boy,14,,,"strong, very strong",10,,,very tall,5.714285714,,,,,,
17,1-Nov,Campaign Rally,"Opa-Locka, FL",,,,,14 years old,14,,,,,very young,20,tall person,4.285714286,,,,,,
17.25,1-Nov,Campaign Rally,"Rome, GA",,,"12 minutes, I don't mean 12, they'll say ""he's exaggerating, it took half a day""",6,14 years old,14,,,strong,6.666666667,young man,17.5,very tall,5.714285714,,,,,,
17.5,1-Nov,Campaign Rally,"Dubuque, IA",29,29,"12 minutes, 12 minutes",12,14,14,,,,,young guy,15,,,,,,,,
17.75,1-Nov,Campaign Rally,"Hickory, NC",30,30,"a matter of minutes, 14 minutes",8,14,14,,,strong,6.666666667,,,very tall,5.714285714,,,,,,
18,2-Nov,Campaign Rally,"Traverse City, MI",,,"12 minutes, 12 seconds",6.1,only 14 years old,14,,,strong,6.666666667,,,"very tall, very tall",5.714285714,,,good boy,6.666666667,,
18.5,2-Nov,Campaign Rally,"Kenosha, WI",,,12 minutes,12,14 years old,14,,,"strong, strong",6.666666667,"young, young",10,"very tall, very tall, definitely tall",20,,,,,,
